SKU,ASIN,Brand,Product Name,Category,Unit_COGS,FBA_Fee,Amazon_Referral_Fee_%,Current_Price,Buy_Box_Price,Lowest_Competitor_Price,Is_Buy_Box_Winner,Competitor_Count,Sales_Rank,Available_Inventory,Inbound_Inventory,Historical_Velocity_7D,Days_of_Supply,Storage_Type,Ad_Impressions_7D,Ad_Clicks_7D,Ad_Spend_7D,Ad_Orders_7D,Ad_Sales_7D,CPC,CTR,ACOS,ROAS
SKU-1047,B0106439,Brightway,Brightway Dog Chew Toy Set,Pet Supplies,28.07,3.71,0.15,82.09,81.15,86.62,False,3,68680,1141,16,435,18.4,Standard,52355,627,833.91,23,1888.07,1.33,0.012,0.4417,2.26
SKU-1048,B0106576,Brightway,Brightway Pet Carrier,Pet Supplies,4.34,4.78,0.08,12.71,12.46,11.94,True,10,208842,2819,201,402,49.1,Standard,102714,577,403.9,91,1133.86,0.7,0.0056,0.3562,2.81
SKU-1049,B0106713,Brightway,Brightway Pet Feeding Mat,Pet Supplies,23.05,5.91,0.12,56.67,56.52,56.68,False,12,36459,938,514,99,66.3,Standard,95627,1021,1470.24,153,9590.04,1.44,0.0107,0.1533,6.52
SKU-1050,B0106850,UrbanCraft,UrbanCraft Utensil Organizer,Kitchen,23.87,6.92,0.08,90.91,89.13,97.11,True,7,44585,606,36,519,8.2,Standard,68336,289,205.19,12,1069.56,0.71,0.0042,0.1918,5.21
SKU-1051,B0106987,UrbanCraft,UrbanCraft Coffee Grinder,Kitchen,20.89,7.23,0.08,52.34,51.07,52.35,False,9,523265,2185,3,94,162.7,Standard,36054,222,84.36,7,413.28,0.38,0.0062,0.2041,4.9
SKU-1052,B0107124,UrbanCraft,UrbanCraft Utensil Organizer,Kitchen,5.06,5.42,0.15,19.67,19.28,18.14,True,7,177979,5030,2,313,112.5,Standard,62696,969,717.06,87,1677.36,0.74,0.0155,0.4275,2.34
SKU-1053,B0107261,UrbanCraft,UrbanCraft Spice Rack,Kitchen,17.78,6.85,0.08,48.25,39.59,40.46,False,8,29128,1296,6,223,40.7,Standard,29097,242,389.14,47,2267.75,1.34,0.0083,0.1716,6.99
SKU-1054,B0107398,UrbanCraft,UrbanCraft Food Storage Set,Kitchen,7.15,5.54,0.08,33.5,32.84,29.99,True,10,91165,822,106,261,22.0,Standard,119139,726,377.52,42,1379.28,0.52,0.0061,0.2737,3.65
SKU-1055,B0107535,UrbanCraft,UrbanCraft Knife Set,Kitchen,5.84,6.55,0.12,22.88,22.43,21.49,True,4,14556,1681,20,127,92.7,Standard,84861,416,449.28,52,1166.36,1.08,0.0049,0.3852,2.6
SKU-1056,B0107672,UrbanCraft,UrbanCraft LED Strip Lights,Lighting,26.15,5.97,0.12,68.17,68.17,80.96,True,8,122849,0,6166,489,0.0,Standard,103056,508,243.84,23,1567.91,0.48,0.0049,0.1555,6.43
SKU-1057,B0107809,UrbanCraft,UrbanCraft Reading Light Clip,Lighting,15.0,7.48,0.12,54.94,52.14,52.6,False,5,49823,2827,208,356,55.6,Standard,55203,441,224.91,14,769.16,0.51,0.008,0.2924,3.42
SKU-1058,B0107946,UrbanCraft,UrbanCraft String Lights,Lighting,9.88,7.15,0.08,39.93,39.93,41.07,True,0,18171,2635,368,441,41.8,Standard,12647,118,245.44,14,559.02,2.08,0.0093,0.4391,2.28
SKU-1059,B0108083,UrbanCraft,UrbanCraft Table Lamp,Lighting,27.79,7.36,0.12,65.9,65.9,64.27,True,4,20272,3389,151,1066,22.3,Standard,21512,251,456.82,13,856.7,1.82,0.0117,0.5332,1.88
SKU-1060,B0108220,VitalPeak,VitalPeak Portable Stove,Outdoor,19.83,3.12,0.12,59.08,57.71,59.63,False,1,62276,1331,1170,457,20.4,Standard,112164,1406,492.1,30,1772.4,0.35,0.0125,0.2776,3.6
SKU-1061,B0108357,VitalPeak,VitalPeak Folding Chair,Outdoor,12.09,7.76,0.12,40.89,40.89,38.0,True,10,65217,2064,119,40,361.2,Oversize,55308,508,330.2,19,776.91,0.65,0.0092,0.425,2.35
SKU-1062,B0108494,VitalPeak,VitalPeak Hiking Backpack,Outdoor,9.02,11.93,0.15,37.6,36.89,37.78,False,6,103066,567,206,61,65.1,Oversize,38291,191,173.81,24,902.4,0.91,0.005,0.1926,5.19
SKU-1063,B0108631,VitalPeak,VitalPeak Insulated Water Bottle,Outdoor,14.01,5.25,0.12,40.41,39.53,41.98,False,1,117649,1335,13,80,116.8,Standard,9061,65,109.85,19,767.79,1.69,0.0072,0.1431,6.99
SKU-1064,B0108768,VitalPeak,VitalPeak Portable Stove,Outdoor,16.11,4.63,0.15,46.8,46.8,51.37,True,0,110688,226,10,103,15.4,Standard,88354,963,1194.12,233,10904.4,1.24,0.0109,0.1095,9.13
SKU-1065,B0108905,VitalPeak,VitalPeak Headlamp,Outdoor,14.95,5.9,0.1,38.08,34.16,34.47,False,3,175025,1887,545,56,235.9,Standard,97306,823,1218.04,34,1294.72,1.48,0.0085,0.9408,1.06
SKU-1066,B0109042,VitalPeak,VitalPeak Massage Gun,Fitness,24.42,4.45,0.12,61.43,61.43,64.53,True,4,225374,2849,38,227,87.9,Standard,5536,26,33.28,6,368.58,1.28,0.0047,0.0903,11.08
SKU-1067,B0109179,VitalPeak,VitalPeak Resistance Bands Set,Fitness,18.42,5.08,0.08,59.19,58.93,60.73,False,6,30746,2979,337,465,44.8,Standard,13323,129,94.17,11,651.09,0.73,0.0097,0.1446,6.91
SKU-1068,B0109316,VitalPeak,VitalPeak Pull-Up Bar,Fitness,28.06,5.74,0.12,89.27,89.27,94.98,True,6,53093,357,581,101,24.7,Standard,38015,523,617.14,24,2142.48,1.18,0.0138,0.288,3.47
SKU-1069,B0109453,VitalPeak,VitalPeak Adjustable Dumbbells,Fitness,11.91,7.63,0.12,37.39,37.39,40.99,True,6,176499,1313,2,82,112.1,Oversize,77520,493,448.63,60,2243.4,0.91,0.0064,0.2,5.0
SKU-1070,B0109590,Cozynest,Cozynest Adjustable Dumbbells,Fitness,24.23,12.63,0.1,86.08,82.03,83.01,False,3,58940,1653,119,161,71.9,Oversize,33077,403,229.71,16,1377.28,0.57,0.0122,0.1668,6.0
SKU-1071,B0109727,Cozynest,Cozynest Massage Gun,Fitness,18.66,4.97,0.15,76.2,73.91,78.67,False,5,89910,1992,397,379,36.8,Standard,49805,539,619.85,29,2166.59,1.15,0.0108,0.2861,3.5
SKU-1072,B0109864,Cozynest,Cozynest Jump Rope,Fitness,22.43,4.88,0.1,76.65,74.17,74.57,False,4,85251,470,124,47,70.0,Standard,10810,170,125.8,5,375.75,0.74,0.0157,0.3348,2.99
SKU-1073,B0110001,Cozynest,Cozynest Adjustable Dumbbells,Fitness,18.09,13.78,0.15,76.47,76.47,80.69,True,7,71678,1389,46,633,15.4,Oversize,88436,1536,1228.8,118,9023.46,0.8,0.0174,0.1362,7.34
SKU-1074,B0110138,Cozynest,Cozynest Yoga Mat,Fitness,12.17,6.13,0.1,32.94,32.94,34.3,True,11,899,939,129,128,51.4,Standard,106209,729,583.2,147,4842.18,0.8,0.0069,0.1204,8.3
SKU-1075,B0110275,Cozynest,Cozynest Exercise Ball,Fitness,20.29,7.0,0.15,61.11,54.15,55.76,False,11,67775,3,1072,189,0.1,Oversize,56324,213,193.83,11,672.21,0.91,0.0038,0.2883,3.47
SKU-1076,B0110412,Cozynest,Cozynest Travel Duffel Bag,Travel,15.77,10.26,0.15,54.32,54.32,45.94,True,3,22102,1190,8,275,30.3,Oversize,4841,40,29.2,1,54.32,0.73,0.0083,0.5376,1.86
SKU-1077,B0110549,Cozynest,Cozynest Garment Bag,Travel,27.08,3.82,0.1,88.46,81.08,81.36,False,5,44107,352,1112,68,36.2,Standard,49976,410,590.4,41,3626.86,1.44,0.0082,0.1628,6.14
SKU-1078,B0110686,Cozynest,Cozynest Travel Adapter,Travel,18.05,5.95,0.12,80.54,80.54,84.77,True,1,90761,4224,78,535,55.3,Standard,98699,1272,2060.64,89,7168.06,1.62,0.0129,0.2875,3.48
SKU-1079,B0110823,Cozynest,Cozynest Luggage Tag Set,Travel,17.74,3.81,0.12,45.33,39.74,40.41,False,4,114470,2466,86,207,83.4,Standard,74346,1221,927.96,46,2044.24,0.76,0.0164,0.4539,2.2
SKU-1080,B0110960,Solstice Gear,Solstice Gear String Lights,Lighting,22.16,3.26,0.15,58.24,56.16,57.63,False,3,9003,239,1321,145,11.5,Standard,43234,306,416.16,38,2213.12,1.36,0.0071,0.188,5.32
SKU-1081,B0111097,Solstice Gear,Solstice Gear Floor Lamp,Lighting,25.13,4.67,0.08,66.91,66.91,59.94,True,9,83531,3416,34,297,80.5,Standard,14235,104,69.68,6,401.46,0.67,0.0073,0.1736,5.76
SKU-1082,B0111234,Solstice Gear,Solstice Gear Reading Light Clip,Lighting,12.64,5.21,0.08,32.84,32.84,29.46,True,5,107579,1941,16,91,149.3,Standard,78297,502,326.3,85,2791.4,0.65,0.0064,0.1169,8.55
SKU-1083,B0111371,Solstice Gear,Solstice Gear Floor Lamp,Lighting,22.9,3.55,0.1,64.83,64.77,64.84,False,13,481115,2402,456,185,90.9,Standard,41944,364,473.2,25,1724.5,1.3,0.0087,0.2744,3.64
SKU-1084,B0111508,Solstice Gear,Solstice Gear Table Lamp,Lighting,26.33,3.33,0.12,71.52,71.52,65.85,True,8,128224,1585,2,281,39.5,Standard,76571,1095,405.15,59,4219.68,0.37,0.0143,0.096,10.42
SKU-1085,B0111645,Solstice Gear,Solstice Gear Floor Lamp,Lighting,8.55,7.21,0.1,34.32,33.44,34.76,False,5,57969,1468,138,114,90.1,Standard,74455,512,532.48,49,1681.68,1.04,0.0069,0.3166,3.16
SKU-1086,B0111782,Solstice Gear,Solstice Gear Salad Spinner,Kitchen,7.56,6.24,0.12,25.85,22.12,22.31,False,8,1938051,97,1434,58,11.7,Standard,98590,1099,945.14,72,1772.64,0.86,0.0111,0.5332,1.88
SKU-1087,B0111919,Solstice Gear,Solstice Gear Utensil Organizer,Kitchen,10.81,4.83,0.15,30.17,28.15,28.19,False,1,244645,1949,118,208,65.6,Standard,66602,355,358.55,26,784.42,1.01,0.0053,0.4571,2.19
SKU-1088,B0112056,Solstice Gear,Solstice Gear Food Storage Set,Kitchen,7.1,5.02,0.1,26.48,24.59,25.09,False,1,183527,1317,388,181,50.9,Standard,147875,1041,1873.8,212,5613.76,1.8,0.007,0.3338,3.0
SKU-1089,B0112193,Solstice Gear,Solstice Gear Coffee Grinder,Kitchen,11.76,4.77,0.15,52.84,51.8,41.37,True,3,17329,753,84,228,23.1,Standard,53378,158,132.72,11,569.8,0.84,0.003,0.2329,4.29
SKU-1090,B0112330,EverGlow,EverGlow Compression Bag Set,Travel,11.47,5.57,0.1,39.26,39.26,37.37,True,4,108660,2001,31,577,24.3,Standard,9733,99,117.81,14,549.64,1.19,0.0102,0.2143,4.67
SKU-1091,B0112467,EverGlow,EverGlow Travel Adapter,Travel,18.01,5.29,0.08,70.39,70.16,76.41,False,2,61593,2908,6,665,30.6,Standard,73159,882,1153.66,149,10488.11,1.09,0.0121,0.11,10.91
SKU-1092,B0112604,EverGlow,EverGlow Travel Adapter,Travel,15.77,5.2,0.12,51.59,45.66,46.48,False,7,138645,46,1593,134,2.4,Standard,48135,295,359.9,18,910.44,1.22,0.0061,0.3953,2.53
SKU-1093,B0112741,EverGlow,EverGlow Luggage Scale,Travel,19.66,5.63,0.1,59.64,59.64,59.51,True,7,177782,1422,496,104,95.7,Standard,112871,924,591.36,32,1908.48,0.64,0.0082,0.3099,3.23
SKU-1094,B0112878,EverGlow,EverGlow Compression Bag Set,Travel,16.55,5.12,0.08,43.99,43.62,45.63,False,12,108705,1349,1118,315,30.0,Standard,41840,460,621.0,46,2023.54,1.35,0.011,0.3069,3.26
SKU-1095,B0113015,EverGlow,EverGlow Passport Holder,Travel,14.97,4.11,0.12,59.98,59.98,58.39,True,2,46517,3251,119,588,38.7,Standard,18758,189,209.79,14,839.72,1.11,0.0101,0.2498,4.0
SKU-1096,B0113152,EverGlow,EverGlow Exercise Ball,Fitness,29.57,12.94,0.12,75.46,75.46,88.47,True,2,16444,2849,9,382,52.2,Oversize,103498,726,268.62,17,1282.82,0.37,0.007,0.2094,4.78
SKU-1097,B0113289,EverGlow,EverGlow Foam Roller,Fitness,10.01,5.39,0.1,29.39,29.39,25.75,True,2,61377,1472,89,713,14.5,Standard,97555,1188,2055.24,364,10697.96,1.73,0.0122,0.1921,5.21
SKU-1098,B0113426,EverGlow,EverGlow Foam Roller,Fitness,19.14,4.28,0.08,73.98,70.92,71.76,False,13,907091,26,1136,10,18.2,Standard,122225,1002,1893.78,28,2071.44,1.89,0.0082,0.9142,1.09
SKU-1099,B0113563,EverGlow,EverGlow Jump Rope,Fitness,17.76,5.56,0.08,80.13,72.78,74.17,False,5,255744,1680,24,63,186.7,Standard,63077,702,1053.0,96,7692.48,1.5,0.0111,0.1369,7.31
